Data Payload (Hex),Count
1A00FFA900070090,15
00CB000000000069,15
00B6000000000069,15
0180110000000000,15
0000000000000000,15
0084000000000069,15
004A000000000069,15
00D2000000000069,15
00B0000000000069,14
00C8000000000069,14
0069000000000069,14
0083000000000069,14
0073000000000069,14
00ED000000000069,13
00EA000000000069,13
00D3000000000069,13
004F000000000069,13
003D000000000069,13
0052000000000069,13
00A0000000000069,13
FCFFFFFFFFFFFF03,13
1A00FF3F13871490,13
00B5000000000069,12
000080FF907F9A00,12
00B1000000000069,12
01800B0000000000,12
0038000000000069,12
0085000000000069,12
0093000000000069,12
000080FF907FA900,12
1A00FFA5044B0590,12
00BE000000000069,12
00A5000000000069,12
000080FF907FA700,12
1A00FF9314011690,12
01800A0000000000,12
000080FF907FA300,12
00CA000000000069,12
1A00FF3F13811490,12
0056000000000069,11
1A00FF3F13801490,11
0180060000000000,11
0180120000000000,11
1A00FFEB11471390,11
00A4000000000069,11
1A00FF351B0D1D90,11
0180040000000000,11
0180130000000000,11
00D1000000000069,11
1A00FF9314041690,11
1A00FF9314021690,11
00DA000000000069,11
1A00FFEB11451390,10
1A00FF351B021D90,10
1A00FF3F138A1490,10
0054000000000069,10
1A00FF3F13881490,10
1A00FFEB11461390,10
1A00FF93140D1690,10
1A00FF490B4F0C90,10
1A00FF3F13861490,10
0055000000000069,10
1A00FF93140E1690,10
1A00FF9314031690,9
1A00FF3F13821490,9
1A00FF9314051690,9
1A00FF490B410C90,9
1A00FF490B420C90,9
1A00FFF309CC0A90,9
1A00FF3F13831490,9
1A00FF9710CC1190,9
1A00FFA108800990,9
1A00FF3F138B1490,9
1A00FF490B4E0C90,9
1A00FF9314001690,9
1A00FF93140F1690,9
1A00FF3F13891490,9
1A00FF351B0E1D90,9
00E9000000000069,9
1A00FF3F138F1490,9
1A00FFEB11441390,9
1A00FF351B011D90,9
000080FF907FAA00,9
1A00FFA5044C0590,9
1A00FFA5044D0590,9
1A00FF351B031D90,9
1A00FFA1088A0990,9
1A00FF351B0C1D90,9
1A00FFDD1DCA1F90,9
0180150000000000,8
1A00FF3F138C1490,8
00EB000000000069,8
00EE000000000069,8
1A00FF3F13851490,8
000080FF907F9900,8
1A00FF351B0B1D90,8
1A00FFA504480590,8
1A00FFDD1DC91F90,8
1A00FFEB11431390,8
1A00FFA504420590,8
1A00FFA5044E0590,8
1A00FFEB11491390,8
1A00FFA5044F0590,8
1A00FF9710CB1190,8
1A00FF9710C91190,8
1A00FF351B0F1D90,8
1A00FFEF0D040F90,8
1A00FFEF0D050F90,8
1A00FFA504400590,8
003B000000000069,8
1A00FFA5044A0590,8
1A00FF490B450C90,8
1A00FF490B400C90,8
1A00FF490B440C90,8
1A00FFF309C80A90,8
1A00FFA1088E0990,8
1A00FFF309CB0A90,8
1A00FF490B430C90,8
1A00FF3F13841490,8
1A00FF490B490C90,8
1A00FFA1088D0990,8
1A00FF490B460C90,8
1A00FF9B0CC10D90,8
1A00FF93140C1690,8
1A00FF9B0CCD0D90,8
1A00FFA504450590,7
1A00FF490B4D0C90,7
1A00FF8D184E1A90,7
1A00FF9B0CCB0D90,7
1A00FFDD1DCB1F90,7
00C9000000000069,7
1A00FFEF0D090F90,7
00A1000000000069,7
1A00FF351B041D90,7
1A00FF351B061D90,7
0180100000000000,7
1A00FF9B0CC00D90,7
0800,7
1A00FF9B0CC60D90,7
1A00FF351B001D90,7
1A00FFEF0D030F90,7
1A00FFA504490590,7
00A2000000000069,7
1A00FFEF0D070F90,7
00FE000000000069,7
1A00FF3F138E1490,7
1A00FF93140A1690,7
00EC000000000069,7
1A00FF9B0CC20D90,7
1A00FFA108890990,7
1A00FFA1088B0990,7
00DF000000000069,7
1A00FF490B470C90,7
1A00FF351B0A1D90,7
1A00FF9314081690,7
1A00FF8D18411A90,7
1A00FFEB11481390,7
000080FF907F9D00,7
1A00FF9B0CCE0D90,7
1A00FF891C411E90,6
1A00FFA504470590,6
1A00FFDD1DCC1F90,6
00E5000000000069,6
1A00FF430F811090,6
1A00FF8D18441A90,6
1A00FF430F8C1090,6
1A00FFE5154B1790,6
000080FF907F9B00,6
1A00FFEF0D0A0F90,6
1A00FFA504460590,6
1A00FFF309CA0A90,6
1A00FFA108850990,6
1A00FFF905CF0690,6
1A00FF3917C61890,6
1A00FF8D18431A90,6
00E2000000000069,6
1A00FFEB11401390,6
1A00FFA504410590,6
1A00FFE1198C1B90,6
1A00FFF309CD0A90,6
1A00FF430F8D1090,6
1A00FF8D18401A90,6
1A00FF351B071D90,6
1A00FFEB11421390,6
1A00FFA108810990,6
1A00FFF309C90A90,6
1A00FFA504430590,6
1A00FF3917C81890,6
1A00FFE5154C1790,6
1A00FFE515461790,6
1A00FFF309C70A90,6
000080FF907FA400,6
1A00FF9B0CCF0D90,6
1A00FF430F881090,6
1A00FF9710C81190,6
1A00FFDD1DC81F90,5
1A00FF8D18421A90,5
1A00FF9710C51190,5
1A00FFA1088C0990,5
00D8000000000069,5
1A00FF9710C61190,5
00E3000000000069,5
00DD000000000069,5
1A00FFEF0D080F90,5
000080FF907FA600,5
1A00FFE119831B90,5
1A00FF9B0CC70D90,5
1A00FF490B480C90,5
1A00FF9B0CCA0D90,5
1A00FFE1198E1B90,5
1A00FFE1198F1B90,5
1A00FFE119801B90,5
1A00FF3917CA1890,5
1A00FF351B051D90,5
1A00FF9710C01190,5
1A00FF3F138D1490,5
1A00FFEF0D0F0F90,5
1A00FF8D18461A90,5
1A00FFF905CE0690,5
1A00FF8D18451A90,5
1A00FF9B0CCC0D90,5
1A00FFF309C60A90,5
1A00FF9710CA1190,5
1A00FF9314091690,5
0180050000000000,5
1A00FFF905C70690,5
1A00FFE5154E1790,5
1A00FF9B0CC50D90,5
1A00FFA108870990,5
1A00FF8D18471A90,5
1A00FFE1198A1B90,5
1A00FFE1198B1B90,5
00E6000000000069,5
1A00FFEB11411390,5
1A00FFA1088F0990,5
0180020000000000,5
000080FF907FAC00,5
1A00FF5103C70390,5
1A00FF891C401E90,5
1A00FFEB114C1390,5
1A00FFF309CE0A90,5
1A00FF9710CE1190,5
1A00FF9710CD1190,5
1A00FFA108830990,5
490EB13F0E001B0E,5
1A00FF490B4A0C90,5
1A00FFEB114A1390,5
1A00FF9710C41190,4
1A00FF4D070B0890,4
1A00FFF905CD0690,4
1A00FF9710C31190,4
1A00FFF309C50A90,4
1A00FFF309C30A90,4
1A00FFEF0D010F90,4
1A00FF430F841090,4
1A00FFEF0D0B0F90,4
1A00FF351B081D90,4
1A00FF9710CF1190,4
